band,variable_code,variable_description,units,SOURCE
107,px3wcl3a,Long-term precipitation for period May/Jun/Jul based on WorldClim.org data,mm,http://worldclim.org/version2
108,px4wcl3a,Long-term precipitation for period Aug/Sep/Oct based on WorldClim.org data,mm,http://worldclim.org/version2
109,rsp,Relative slope position. The position of relative height maxima as a function of slope.,Continuous variable ranging from 0 (valley floor) to 100 (ridge top),"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
110,shade,"Analytical hillshading. The representation of topographic relief with the method of hill-shading, based on simulating the effect of natural light on earth's surface",Adim. Higher values are receiving more light given a specific position.,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
111,sinks,Elevation data after using a method for identifying and filling surface depressions in digital elevation models for hydrologic analysis and modelling,Meters above sea level,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
112,slope,The change of elevation while increasing distance. Is the measure of steepness or the degree of inclination of a feature relative to the horizontal plane.,Radians,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
113,slpsrt3a,Slope map in percent derived using the DEMSRE3,Percentage,
114,smkisr3a,"Soil mask derived based on vegetation, land cover and water masks",Binomial,"Reuter HI, Hengl T. Worldgrids—a public repository of global soil covariates. In: Miasny B, Malone BP, McBratney AB editors. Digital Soil Assessments and Beyond—Proceedings of the 5th Global Workshop on Digital Soil Mapping. Sydney: CRC Press; 2012. pp. 287–292. Available: https://doi.org/10.1201/b12728-57"
115,tdhmod3a,Maximum value of the 8-day MODIS day-time LST time series data,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
116,tdlmod3a,Minimum value of the 8-day MODIS day-time LST time series data,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
117,tdmmod3a,Mean value the 8-day MODIS day-time LST time series data,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
118,tdsmod3a,Standard deviation of the 8-day MODIS day-time LST time series data,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
119,tnhmod3a,Maximum value of the 8-day MODIS night-time LST time series data,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
120,tnlmod3a,Minimum value of the 8-day MODIS night-time LST time series data,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
121,tnmmod3a,Mean value the 8-day MODIS night-time LST time series data,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
122,tnsmod3a,Standard deviation of the 8-day MODIS night-time LST time series data,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
123,twisre3a,SAGA Topographic Wetness Index derived using the DEMSRE3,index (x/10+10),http://www.saga-gis.org/saga_tool_doc/2.1.3/ta_hydrology_20.html
124,tx1mod3a,Mean value of the 8-day MODIS day-time LST time series data for Dec/Jan,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
125,tx2mod3a,Mean value of the 8-day MODIS day-time LST time series data for Feb/Mar,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
126,tx3mod3a,Mean value of the 8-day MODIS day-time LST time series data for Apr/May,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
127,tx4mod3a,Mean value of the 8-day MODIS day-time LST time series data for Jun/Jul,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
128,tx5mod3a,Mean value of the 8-day MODIS day-time LST time series data for Aug/Sep,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
129,tx6mod3a,Mean value of the 8-day MODIS day-time LST time series data for Oct/Nov,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a2_v006
130,vall_depth,"Interpolation of a channel network base level elevation,
and the subtraction of this base level from the original elevations.",Meters.,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
131,vcurv,"Profile curvature is the curvature intersecting with the plane defined by the Z axis and maximum gradient direction. Positive values describe convex profile curvature, negative values concave profile.",This index is centered in zero values and indicates the concavity or convexity of the terrain surface,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
132,wetness,Topographic wetness index. This index is indicator for the likelihood of saturated soil conditions during rain events and as an indicator for sediment and matter accumulation. In the absence of information on hydraulic soil transmissivity.,Adim. Higher values indicate areas where water tends to accumulate.,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
133,wmkmod3a,Global water mask based on MOD44W product,Binomial,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod44w_v006
